"","exposure","outcome_PC2","term","estimate","std.error","statistic","conf.low","conf.high","p.value"
"1","social_relationships_ordinal","TGF_beta1","social_relationships_ordinal.L",-0.105670905624307,0.334448875190483,-0.315955332677148,-0.768971368049404,0.557629556800791,0.752675763998652
"2","social_relationships_ordinal","TGF_beta1","social_relationships_ordinal.Q",-0.309619658506402,0.285668502091365,-1.08384248259676,-0.876175755995346,0.256936438982543,0.2809652149902
"3","social_relationships_ordinal","TGF_beta1","social_relationships_ordinal.C",0.37764728204012,0.22662068762156,1.66642898317723,-0.0718014021836257,0.827095966263866,0.0986663231437929
"4","social_relationships_ordinal","VEGF","social_relationships_ordinal.L",0.0918809285569337,0.306262188820936,0.300007418188519,-0.515517889431467,0.699279746545334,0.764776124477265
"5","social_relationships_ordinal","VEGF","social_relationships_ordinal.Q",-0.132491236437431,0.261592928598939,-0.506478661892881,-0.651299112253989,0.386316639379128,0.613603118696077
"6","social_relationships_ordinal","VEGF","social_relationships_ordinal.C",0.176712554614793,0.207521546554926,0.85153834649175,-0.234857487935528,0.588282597165114,0.396445846341135
"7","social_relationships_ordinal","IL_18","social_relationships_ordinal.L",0.333285838613731,0.275659503185786,1.20904897078446,-0.213419770220702,0.879991447448164,0.229412099682611
"8","social_relationships_ordinal","IL_18","social_relationships_ordinal.Q",0.22989687860732,0.23545373659123,0.976399363780081,-0.237070074927001,0.69686383214164,0.331154264828184
"9","social_relationships_ordinal","IL_18","social_relationships_ordinal.C",0.34203890284889,0.186785337895967,1.83118710869798,-0.028405760569575,0.712483566267356,0.0699632527638111
"10","social_relationships_ordinal","VILIP_1","social_relationships_ordinal.L",-0.0792743205883628,0.275205295208379,-0.288055215392342,-0.625079115026936,0.46653047385021,0.773883303844394
"11","social_relationships_ordinal","VILIP_1","social_relationships_ordinal.Q",-0.134782593973257,0.235065776211726,-0.573382464029375,-0.600980119597315,0.3314149316508,0.56763555950988
"12","social_relationships_ordinal","VILIP_1","social_relationships_ordinal.C",0.0305501625194113,0.186477569110366,0.163827545935728,-0.339284114101691,0.400384439140514,0.87018794715096
"13","social_relationships_ordinal","sRAGE","social_relationships_ordinal.L",-0.0613216800101857,0.306165411886055,-0.20028937832144,-0.668528563773596,0.545885203753225,0.841649201209915
"14","social_relationships_ordinal","sRAGE","social_relationships_ordinal.Q",-0.277628426968764,0.261510266870719,-1.06163490363464,-0.7962723627436,0.241015508806072,0.290884389557426
"15","social_relationships_ordinal","sRAGE","social_relationships_ordinal.C",0.416585308208856,0.207455971045019,2.00806612656358,0.00514531921610994,0.828025297201603,0.0472543861873633
"16","social_relationships_ordinal","sTREM_1","social_relationships_ordinal.L",-0.188139724150913,0.302293474650581,-0.622374414030546,-0.787667533624395,0.411388085322568,0.535071095360053
"17","social_relationships_ordinal","sTREM_1","social_relationships_ordinal.Q",-0.225017257841982,0.25820306331197,-0.871474005597326,-0.737102135379283,0.287067619695318,0.385522178965658
"18","social_relationships_ordinal","sTREM_1","social_relationships_ordinal.C",0.276181250519338,0.20483236802578,1.34832816307908,-0.130055440675233,0.682417941713909,0.180510395624867
"19","social_relationships_ordinal","CX3CL1","social_relationships_ordinal.L",-0.130036667201729,0.29918894917736,-0.434630582310187,-0.723407382617634,0.463334048214176,0.664739809193473
